Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,20392723,20951639,21522626,22100683,22673762,23251485,23840247
Burundi,BDI,"Population, total",SP.POP.TOTL,11493472,11874838,12220227,12551213,12889576,13238559,13591657
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,571202,577030,582640,587925,593149,598682,604461
Cambodia,KHM,"Population, total",SP.POP.TOTL,16025238,16207746,16396860,16589023,16767842,16944826,17121847
Cameroon,CMR,"Population, total",SP.POP.TOTL,25076747,25782341,26491087,27198628,27914536,28647293,29394433
Canada,CAN,"Population, total",SP.POP.TOTL,37065084,37601230,38007166,38226498,38929902,39244168,39555364
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7374650,7424102,7444768,7481877,7505478,7528219,7552911
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,64884,66134,67311,68136,68706,69310,69885
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5094780,5209324,5343020,5457154,5579144,5742315,5915627
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102538451,102398537,102180124,101413176,100108221,98398413,97079214
Chad,TCD,"Population, total",SP.POP.TOTL,15604210,16126866,16644701,17179740,17723315,18278568,18847148
Channel Islands,CHI,"Population, total",SP.POP.TOTL,167259,169410,171113,172683,174079,175346,176631
Chile,CHL,"Population, total",SP.POP.TOTL,18701450,19039485,19300315,19493184,19603733,19629590,19658839
China,CHN,"Population, total",SP.POP.TOTL,1402760000,1407745000,1411100000,1412360000,1412175000,1411878144,1411514112
Colombia,COL,"Population, total",SP.POP.TOTL,49276961,50187406,50930662,51516562,51874024,52085168,52340774
Comoros,COM,"Population, total",SP.POP.TOTL,776313,790986,806166,821625,836774,852075,867605
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,87087355,89906890,92853164,95894118,99010212,102262808,105625114
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5441062,5570733,5702174,5835806,5970424,6106869,6244547
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5040734,5084532,5123105,5153957,5180829,5212173,5246714
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,25493988,26147551,26811790,27478249,28160542,28873034,29603302
Croatia,HRV,"Population, total",SP.POP.TOTL,4087843,4065253,4047680,3879000,3855600,3834139,3813021
Cuba,CUB,"Population, total",SP.POP.TOTL,11328244,11316697,11300698,11256372,11212191,11194449,11174587
Curacao,CUW,"Population, total",SP.POP.TOTL,159336,157441,154947,152369,149996,150768,151528
Cyprus,CYP,"Population, total",SP.POP.TOTL,1218831,1228836,1237537,1244188,1251488,1260138,1268467
Czechia,CZE,"Population, total",SP.POP.TOTL,10629928,10671870,10697858,10505772,10672118,10680324,10686089
Denmark,DNK,"Population, total",SP.POP.TOTL,5793636,5814422,5831404,5856733,5903037,5928585,5953613
Djibouti,DJI,"Population, total",SP.POP.TOTL,1057198,1073994,1090156,1105557,1120849,1136455,1152329
Dominica,DMA,"Population, total",SP.POP.TOTL,70823,71428,71995,72412,72737,73040,73368
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10765531,10881882,10999664,11117873,11228821,11332972,11434005
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3292896609,3334561751,3374383528,3411268373,3447398652,3485971283,3526663253
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2341383691,2353856866,2363934334,2370189840,2375162207,2380459880,2385831010
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2094524854,2106391925,2116378687,2123628421,2129112126,2134838443,2140634589
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2068898629,2080648616,2090523535,2097669023,2103055378,2108690402,2114402891
Ecuador,ECU,"Population, total",SP.POP.TOTL,17015672,17343740,17588595,17797737,18001000,18190484,18377367
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,103740765,105618671,107465134,109262178,110990103,112716598,114484252
El Salvador,SLV,"Population, total",SP.POP.TOTL,6276342,6280217,6292731,6314167,6336392,6364943,6396289
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1502091,1553031,1596049,1634466,1674908,1714671,1754993
Eritrea,ERI,"Population, total",SP.POP.TOTL,3445374,3498818,3555868,3620312,3684032,3748901,3817651
Estonia,EST,"Population, total",SP.POP.TOTL,1321977,1326898,1329522,1330932,1348840,1344839,1340718
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1160428,1169613,1180655,1192271,1201670,1210822,1222075
Ethiopia,ETH,"Population, total",SP.POP.TOTL,111129438,114120594,117190911,120283026,123379924,126527060,129719719
Euro area,EMU,"Population, total",SP.POP.TOTL,342065158,342452734,342913447,343063979,344475911,344171314,343886319
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,917380453,920277481,922353365,923564027,920375568,921123295,922091065
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,396674671,398690076,400061023,401682855,397824705,400011439,402016665
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,458211234,460092452,461273023,462431038,457549063,458445812,459463166
European Union,EUU,"Population, total",SP.POP.TOTL,447001100,447367191,447692315,447178112,447370510,445602445,444215257
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,50955,51681,52415,52889,53090,53270,53444
Fiji,FJI,"Population, total",SP.POP.TOTL,918996,918465,920422,924610,929766,936375,943072
Finland,FIN,"Population, total",SP.POP.TOTL,5515525,5521606,5529543,5541017,5556106,5558637,5561178
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,936721531,957785553,979763631,1001844479,1019139254,1045121612,1071318673
France,FRA,"Population, total",SP.POP.TOTL,67158348,67388001,67571107,67764304,67971311,68095424,68218008
French Polynesia,PYF,"Population, total",SP.POP.TOTL,297606,299717,301920,304032,306279,308872,311383
Gabon,GAB,"Population, total",SP.POP.TOTL,2192012,2242785,2292573,2341179,2388992,2436566,2484557
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2444916,2508883,2573995,2639916,2705992,2773168,2841803
Georgia,GEO,"Population, total",SP.POP.TOTL,3726549,3720161,3722716,3708610,3712502,3698729,3691679
Germany,DEU,"Population, total",SP.POP.TOTL,82905782,83092962,83160871,83196078,83797985,83699288,83610040
Ghana,GHA,"Population, total",SP.POP.TOTL,30870641,31522290,32180401,32833031,33475870,34121985,34777522
Gibraltar,GIB,"Population, total",SP.POP.TOTL,32648,32685,32709,32669,32649,32688,32718
Greece,GRC,"Population, total",SP.POP.TOTL,10732882,10721582,10698599,10569207,10426919,10384471,10341796
Greenland,GRL,"Population, total",SP.POP.TOTL,56023,56225,56367,56653,56661,..,..
Grenada,GRD,"Population, total",SP.POP.TOTL,121838,122724,123663,124610,125438,126183,126887
Guam,GUM,"Population, total",SP.POP.TOTL,168678,168624,169231,170534,171774,172952,174114
Guatemala,GTM,"Population, total",SP.POP.TOTL,16346950,16604026,16858333,17109746,17357886,17601416,17868220
Guinea,GIN,"Population, total",SP.POP.TOTL,12554864,12877539,13205153,13531906,13859341,14190612,14528770
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1924955,1970457,2015828,2060721,2105566,2150842,2197149
Guyana,GUY,"Population, total",SP.POP.TOTL,785514,798753,797202,804567,808726,813834,819594
Haiti,HTI,"Population, total",SP.POP.TOTL,11012421,11160438,11306801,11447569,11584996,11724763,11867030
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,792615894,815100831,838066650,861156745,884288332,907995430,932252681
High income,HIC,"Population, total",SP.POP.TOTL,1231508785,1236709936,1241718902,1241268556,1244364814,1245416528,1246963850
Honduras,HND,"Population, total",SP.POP.TOTL,9792850,9958829,10121763,10278345,10432860,10593798,10759406
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7452600,7507900,7481000,7413100,7346100,7350409,7353637
Hungary,HUN,"Population, total",SP.POP.TOTL,9775564,9771141,9750149,9709891,9643048,9457003,9308121
Iceland,ISL,"Population, total",SP.POP.TOTL,352721,360563,366463,372520,382003,384407,386755
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6477695468,6553978299,6627317499,6695487825,6754029970,6821827938,6892569598
